person,personLabel,positionLabel,arTitle,enTitle,image
http://www.wikidata.org/entity/Q261393,Jean Guiart,رئيس,,Jean Guiart,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Guiart%20chez%20lui%20au%20Lotus%20%C3%A0%20Punaauia%20lors%20d%27un%20entretien%20avec%20Jonathan%20Bougard.jpg
http://www.wikidata.org/entity/Q261517,آن أوسبورن كروجر,رئيس,آن أوسبورن كروجر,Anne Osborn Krueger,http://commons.wikimedia.org/wiki/Special:FilePath/Anne%20O.%20Krueger%20%282004%29.jpg
http://www.wikidata.org/entity/Q261687,Jacqueline de Romilly,رئيس,,Jacqueline de Romilly,http://commons.wikimedia.org/wiki/Special:FilePath/Jacqueline%20David%20%28laur%C3%A9ate%20du%20Concours%20g%C3%A9n%C3%A9ral%29%20-%20btv1b53231538r.jpg
http://www.wikidata.org/entity/Q261687,Jacqueline de Romilly,رئيس,,Jacqueline de Romilly,http://commons.wikimedia.org/wiki/Special:FilePath/Jacqueline%20David%20%28laur%C3%A9ate%20du%20Concours%20g%C3%A9n%C3%A9ral%29%20-%20btv1b53231538r.jpg
http://www.wikidata.org/entity/Q261687,Jacqueline de Romilly,رئيس,,Jacqueline de Romilly,http://commons.wikimedia.org/wiki/Special:FilePath/Jacqueline%20David%20%28laur%C3%A9ate%20du%20Concours%20g%C3%A9n%C3%A9ral%29%20-%20btv1b53231538r.jpg
http://www.wikidata.org/entity/Q261687,Jacqueline de Romilly,رئيس,,Jacqueline de Romilly,http://commons.wikimedia.org/wiki/Special:FilePath/Jacqueline%20David%20%28laur%C3%A9ate%20du%20Concours%20g%C3%A9n%C3%A9ral%29%20-%20btv1b53231538r.jpg
http://www.wikidata.org/entity/Q261687,Jacqueline de Romilly,رئيس,,Jacqueline de Romilly,http://commons.wikimedia.org/wiki/Special:FilePath/Jacqueline%20David%20%28laur%C3%A9ate%20du%20Concours%20g%C3%A9n%C3%A9ral%29%20-%20btv1b53231538r.jpg
http://www.wikidata.org/entity/Q261687,Jacqueline de Romilly,رئيس,,Jacqueline de Romilly,http://commons.wikimedia.org/wiki/Special:FilePath/Jacqueline%20David%20%28laur%C3%A9ate%20du%20Concours%20g%C3%A9n%C3%A9ral%29%20-%20btv1b53231538r.jpg
http://www.wikidata.org/entity/Q261687,Jacqueline de Romilly,رئيس,,Jacqueline de Romilly,http://commons.wikimedia.org/wiki/Special:FilePath/Jacqueline%20David%20%28laur%C3%A9ate%20du%20Concours%20g%C3%A9n%C3%A9ral%29%20-%20btv1b53231538r.jpg
http://www.wikidata.org/entity/Q261687,Jacqueline de Romilly,رئيس,,Jacqueline de Romilly,http://commons.wikimedia.org/wiki/Special:FilePath/Jacqueline%20David%20%28laur%C3%A9ate%20du%20Concours%20g%C3%A9n%C3%A9ral%29%20-%20btv1b53231538r.jpg
