person,personLabel,arTitle,image
http://www.wikidata.org/entity/Q4695812,أحمد فكرون,أحمد فكرون,
http://www.wikidata.org/entity/Q4695892,أحمد كراوع,أحمد كراوع,
http://www.wikidata.org/entity/Q4701608,أكرم عياد,أكرم عياد,http://commons.wikimedia.org/wiki/Special:FilePath/Akram%20Ayyad.jpg
http://www.wikidata.org/entity/Q4725137,علي ارحومة,علي ارحومة,
http://www.wikidata.org/entity/Q4725185,علي سلامة,علي سلامة,
http://www.wikidata.org/entity/Q4783697,عرفه الناكوع,عرفه الناكوع,http://commons.wikimedia.org/wiki/Special:FilePath/Arafa%20Nakuaa.jpg
http://www.wikidata.org/entity/Q5431041,فيصل البدري,فيصل البدري,
http://www.wikidata.org/entity/Q5437261,فتاح مسعود,فتاح مسعود,
http://www.wikidata.org/entity/Q5949886,حسين الإدريسي,حسين الإدريسي,
http://www.wikidata.org/entity/Q6399655,خليفة المير,خليفة المير,
http://www.wikidata.org/entity/Q6744075,بشير فهمي فحيمة,بشير فهمي فحيمة,
http://www.wikidata.org/entity/Q6751831,منصور البركي,منصور البركي,
http://www.wikidata.org/entity/Q6778557,مروان مبروك,مروان مبروك (لاعب كرة قدم),
http://www.wikidata.org/entity/Q401494,أحمد شوبير,أحمد شوبير,
http://www.wikidata.org/entity/Q401494,أحمد شوبير,أحمد شوبير,
http://www.wikidata.org/entity/Q401563,أحمد زكي,أحمد زكي,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmed%20Zaki%20%281979%29.jpg
http://www.wikidata.org/entity/Q401615,أحمد المغربي,أحمد المغربي,
http://www.wikidata.org/entity/Q402194,مصطفى قمر,مصطفى قمر,http://commons.wikimedia.org/wiki/Special:FilePath/%D9%85%D8%B5%D8%B7%D9%81%D9%89%20%D9%82%D9%85%D8%B1-1.png
http://www.wikidata.org/entity/Q402194,مصطفى قمر,مصطفى قمر,http://commons.wikimedia.org/wiki/Special:FilePath/%D9%85%D8%B5%D8%B7%D9%81%D9%89%20%D9%82%D9%85%D8%B1-1.png
http://www.wikidata.org/entity/Q402214,إسماعيل رأفت,إسماعيل رأفت,http://commons.wikimedia.org/wiki/Special:FilePath/Ismail%20Raafat%20%28footballer%29.jpg
http://www.wikidata.org/entity/Q402231,إسماعيل يوسف,إسماعيل يوسف,http://commons.wikimedia.org/wiki/Special:FilePath/Ismail%20Youssef.png
http://www.wikidata.org/entity/Q392629,فتحية نكروما,فتحية نكروما,http://commons.wikimedia.org/wiki/Special:FilePath/Fathia%20Nkrumah%20with%20son%20Gamal.jpg
http://www.wikidata.org/entity/Q400602,أحمد بدوي,أحمد بدوي,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmed%20Badawy.jpg
http://www.wikidata.org/entity/Q400643,أحمد فؤاد محيي الدين,أحمد فؤاد محيي الدين,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmad%20Fuad%20Mohieddin.jpg
http://www.wikidata.org/entity/Q401232,أحمد عز,أحمد عز (رجل أعمال),
http://www.wikidata.org/entity/Q401240,أحمد فتحي سرور,أحمد فتحي سرور,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmad%20Fathi%20Sorour.jpg
http://www.wikidata.org/entity/Q401372,أحمد ماهر,أحمد ماهر (سياسي),
http://www.wikidata.org/entity/Q401377,أحمد درويش,أحمد درويش,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmed%20Darwish%20portrait%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q401474,أحمد صلاح حسني,أحمد صلاح حسني,http://commons.wikimedia.org/wiki/Special:FilePath/%D8%A3%D8%AD%D9%85%D8%AF%20%D8%B5%D9%84%D8%A7%D8%AD%20%D8%AD%D8%B3%D9%86%D9%8A.png
http://www.wikidata.org/entity/Q401474,أحمد صلاح حسني,أحمد صلاح حسني,http://commons.wikimedia.org/wiki/Special:FilePath/%D8%A3%D8%AD%D9%85%D8%AF%20%D8%B5%D9%84%D8%A7%D8%AD%20%D8%AD%D8%B3%D9%86%D9%8A.png
http://www.wikidata.org/entity/Q2153383,يوان لانجلي,يوان لانجلي,http://commons.wikimedia.org/wiki/Special:FilePath/Langlet%20Yoann%20BenTaher%202007II.jpg
http://www.wikidata.org/entity/Q2165240,عمر نديي,عمر ندياي (لاعب كرة قدم مواليد 1988),
http://www.wikidata.org/entity/Q2214712,سالي سار,سالي سار,http://commons.wikimedia.org/wiki/Special:FilePath/YB%20vs.%20FCL%20-%20Sarr%203.jpg
http://www.wikidata.org/entity/Q2633108,دومينيك دا سيلفا,دومينيك دا سيلفا,http://commons.wikimedia.org/wiki/Special:FilePath/Dominique%20Da%20Sylva%20-%20Match%20entre%20le%20Wydad%20et%20Al%20Ahly-1%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q2820945,عبد الله حسن بن احميدة,عبد الله حسن بن احميدة,
http://www.wikidata.org/entity/Q403476,مصطفى كامل منصور,مصطفى كامل منصور,http://commons.wikimedia.org/wiki/Special:FilePath/Mostafa%20Mansour%20%28footballer%29.jpg
http://www.wikidata.org/entity/Q403535,مصطفى فهمي باشا,مصطفى فهمي باشا,http://commons.wikimedia.org/wiki/Special:FilePath/H.B.%20Moustapha%20Fehmy%20Pasha%2C%20Prime%20Minister%20%281906%29%20-%20TIMEA.jpg
http://www.wikidata.org/entity/Q403629,مصطفى النحاس,مصطفى النحاس,http://commons.wikimedia.org/wiki/Special:FilePath/Elnahas%20basha.jpg
http://www.wikidata.org/entity/Q403740,مصطفى خليل,مصطفى خليل (سياسي),http://commons.wikimedia.org/wiki/Special:FilePath/Mustafa%20Khalil%201992%20Dan%20Hadani%20Archive%20II%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q405451,أيمن نور,أيمن نور,http://commons.wikimedia.org/wiki/Special:FilePath/Ayman%20Noor%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q425325,الأشرف علاء الدين كجك,الأشرف علاء الدين كجك,
http://www.wikidata.org/entity/Q426869,محمود أبو السعود,محمود أبو السعود,
http://www.wikidata.org/entity/Q432164,حلا شيحة,حلا شيحة,http://commons.wikimedia.org/wiki/Special:FilePath/Hala%20shyha.jpg
http://www.wikidata.org/entity/Q437831,فايزة أبو النجا,فايزة أبو النجا,
http://www.wikidata.org/entity/Q444168,منصورة عز الدين,منصورة عز الدين,http://commons.wikimedia.org/wiki/Special:FilePath/Sv%C4%9Bt%20knihy%202011%20-%20Mans%C3%BAra%20%27Izz%20ad-D%C3%ADn.jpg
http://www.wikidata.org/entity/Q445776,سلوى بكر,سلوى بكر,http://commons.wikimedia.org/wiki/Special:FilePath/Salwa%20Bakr%2C%20MN%20Group%20-%20Jun%2012%2C%202021.jpg
http://www.wikidata.org/entity/Q446851,علي صبري,علي صبري (سياسي),http://commons.wikimedia.org/wiki/Special:FilePath/Ali%20Sabri%201966.jpg
http://www.wikidata.org/entity/Q448937,حسام حسن,حسام حسن,http://commons.wikimedia.org/wiki/Special:FilePath/Hossam%20Hassan.png
http://www.wikidata.org/entity/Q27883,زكي باشا,زكي باشا,http://commons.wikimedia.org/wiki/Special:FilePath/Zeki%20Pasha.jpg
http://www.wikidata.org/entity/Q34105,حسني مبارك,حسني مبارك,http://commons.wikimedia.org/wiki/Special:FilePath/Hosni%20Mubarak%20ritratto.jpg
http://www.wikidata.org/entity/Q456346,نبيل العربي,نبيل العربي,http://commons.wikimedia.org/wiki/Special:FilePath/Nabil%20El-Araby.jpg
http://www.wikidata.org/entity/Q456647,أحمد المحمدي,أحمد المحمدي,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmed%20Elmohamady.jpg
http://www.wikidata.org/entity/Q456647,أحمد المحمدي,أحمد المحمدي,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmed%20Elmohamady%202024.jpg
http://www.wikidata.org/entity/Q458709,مجدي علام,مجدي علام,http://commons.wikimedia.org/wiki/Special:FilePath/Magdi%20Allam%2002.JPG
http://www.wikidata.org/entity/Q460008,محمد شوقي,محمد شوقي (لاعب كرة قدم),http://commons.wikimedia.org/wiki/Special:FilePath/Mohamed%20Shawky.jpg
http://www.wikidata.org/entity/Q462020,ريهام عبد الغفور,ريهام عبد الغفور,http://commons.wikimedia.org/wiki/Special:FilePath/%D8%B1%D9%8A%D9%87%D8%A7%D9%85%20%D8%B9%D8%A8%D8%AF%20%D8%A7%D9%84%D8%BA%D9%81%D9%88%D8%B1.png
http://www.wikidata.org/entity/Q462276,تهاني الجبالي,تهاني الجبالي,http://commons.wikimedia.org/wiki/Special:FilePath/%D8%AA%D9%87%D8%A7%D9%86%D9%8A%20%D8%A7%D9%84%D8%AC%D8%A8%D8%A7%D9%84%D9%8A%20-%20%D9%85%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A9%20%D9%85%D8%B5%D8%B1%D9%8A%D8%A9%202014.png
http://www.wikidata.org/entity/Q462287,هند رستم,هند رستم,http://commons.wikimedia.org/wiki/Special:FilePath/Hind%20Rostom%201959.jpg
http://www.wikidata.org/entity/Q465721,أندريه شديد,أندريه شديد,
http://www.wikidata.org/entity/Q467809,محمد ناجي جدو,محمد ناجي جدو,http://commons.wikimedia.org/wiki/Special:FilePath/MohamedNagyGeddo.jpg
http://www.wikidata.org/entity/Q467858,عمر خيرت,عمر خيرت,http://commons.wikimedia.org/wiki/Special:FilePath/Omar%20Khairat%201.png
http://www.wikidata.org/entity/Q467869,علاء الأسواني,علاء الأسواني,http://commons.wikimedia.org/wiki/Special:FilePath/Alaa%20Al%20Aswany.jpg
http://www.wikidata.org/entity/Q467895,محمد عبد الوهاب,محمد عبد الوهاب,http://commons.wikimedia.org/wiki/Special:FilePath/Abdel%20wahab.jpg
http://www.wikidata.org/entity/Q467895,محمد عبد الوهاب,محمد عبد الوهاب,http://commons.wikimedia.org/wiki/Special:FilePath/Abdel%20wahab.jpg
http://www.wikidata.org/entity/Q469611,نفرنفرو رع,نفرنفرو رع,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%84gyptischer%20Maler%20um%201360%20v.%20Chr.%20002.jpg
http://www.wikidata.org/entity/Q471394,سامح فهمي,سامح فهمي,
http://www.wikidata.org/entity/Q477461,عمر دياب,عمرو دياب,http://commons.wikimedia.org/wiki/Special:FilePath/Amr%20Diab%20With%20World%20Music%20Awards.jpg
http://www.wikidata.org/entity/Q477461,عمر دياب,عمرو دياب,http://commons.wikimedia.org/wiki/Special:FilePath/Amr%20Diab%20With%20World%20Music%20Awards.jpg
