person,personLabel,arTitle,enTitle,image,source
http://www.wikidata.org/entity/Q2087335,عبد الله الشهيل,عبد الله الشهيل,Abdullah Shuhail,http://commons.wikimedia.org/wiki/Special:FilePath/Abdullah%20Shuhail.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q3603418,عبد الرحمن الحداد,عبد الرحمن الحداد,Abdulrahman Al-Haddad,,GCC_public_figures
http://www.wikidata.org/entity/Q3603416,عبد العزيز الدوسري,عبد العزيز الدوسري (لاعب كرة قدم مواليد 1988),Abdullaziz Al-Dawsari,,GCC_public_figures
http://www.wikidata.org/entity/Q3603417,عبد الرحمن الرومي,عبد الرحمن الرومي,Abdulrahman Al-Roomi,,GCC_public_figures
http://www.wikidata.org/entity/Q3603420,عبد القادر حسن,عبد القادر حسن,Abdulqadir Hassan,,GCC_public_figures
http://www.wikidata.org/entity/Q3604996,آدم مرجان,آدم مرجان,Adam Marjan,,GCC_public_figures
http://www.wikidata.org/entity/Q3605387,عدنان حسين,عدنان حسين (لاعب كرة قدم إماراتي),Adnan Hussain (footballer),,GCC_public_figures
http://www.wikidata.org/entity/Q3606971,أحمد صبيح,أحمد صبيح,Ahmad Al Subaih,,GCC_public_figures
http://www.wikidata.org/entity/Q3606987,أحمد درويش,أحمد درويش (لاعب كرة قدم مواليد 1984),"Ahmed Darwish (footballer, born 1984)",,GCC_public_figures
http://www.wikidata.org/entity/Q3606994,أحمد حديد,أحمد حديد,Ahmed Hadid Al-Mukhaini,,GCC_public_figures
http://www.wikidata.org/entity/Q3606995,أحمد إبراهيم علي,أحمد إبراهيم علي,Ahmed Ibrahim Ali,,GCC_public_figures
http://www.wikidata.org/entity/Q3607003,أحمد دادا,أحمد المهري,Ahmed Mohammed Al Mahri,,GCC_public_figures
http://www.wikidata.org/entity/Q3611602,علي العامري,علي العامري (لاعب كرة قدم إماراتي),Ali Al-Ameri (Emirati footballer),,GCC_public_figures
http://www.wikidata.org/entity/Q3611619,علي خصيف,علي خصيف,Ali Khasif,,GCC_public_figures
http://www.wikidata.org/entity/Q3611621,علي مسري,علي مسري,Ali Msarri,,GCC_public_figures
http://www.wikidata.org/entity/Q3613059,شاكر الشجاع,شاكر الشجاع,Shaker Al-Shujaa,,GCC_public_figures
http://www.wikidata.org/entity/Q3613973,عامر مبارك,عامر مبارك,Amer Mubarak,,GCC_public_figures
http://www.wikidata.org/entity/Q3631289,عواد العنزي,عواد العنزي,Awad Al-Anazi,,GCC_public_figures
http://www.wikidata.org/entity/Q3703799,داوود علي,داوود علي,Dawood Ali,,GCC_public_figures
http://www.wikidata.org/entity/Q3703800,داوود سليمان,داوود سليمان,Dawoud Sulaiman,,GCC_public_figures
http://www.wikidata.org/entity/Q3945414,سالم العلوي,سالم العلوي,Salem Suroor,,GCC_public_figures
http://www.wikidata.org/entity/Q3945413,سالم عبد الله,سالم عبد الله (لاعب كرة قدم مواليد 1986),"Salem Abdullah (footballer, born 1986)",,GCC_public_figures
http://www.wikidata.org/entity/Q3945419,سالم الدوسري,سالم الدوسري,Salem Al-Dawsari,http://commons.wikimedia.org/wiki/Special:FilePath/Salem%20Al-Dawsari.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q3945417,سالم خميس,سالم خميس,Salem Khamis,,GCC_public_figures
http://www.wikidata.org/entity/Q3945518,سالم عبد الله (مواليد 1984),سالم عبد الله (لاعب كرة قدم مواليد 1984),"Salem Abdullah (footballer, born 1984)",,GCC_public_figures
http://www.wikidata.org/entity/Q3946482,سامي الحشاش,سامي الحشاش,Sami Al-Hashash,,GCC_public_figures
http://www.wikidata.org/entity/Q3978166,سرور سالم,سرور سالم,Suroor Salim,,GCC_public_figures
http://www.wikidata.org/entity/Q315587,سلطان بن عبد العزيز آل سعود,سلطان بن عبد العزيز آل سعود,Sultan bin Abdulaziz,http://commons.wikimedia.org/wiki/Special:FilePath/Prince%20Sultan%20bin%20Abdulaziz%2002.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q317495,عبد العزيز الخثران,عبد العزيز الخثران,Abdulaziz Al-Khathran,,GCC_public_figures
http://www.wikidata.org/entity/Q317715,عبد الله عمر,عبد الله عمر,Abdullah Omar,,GCC_public_figures
http://www.wikidata.org/entity/Q317745,عبد الله الجمعان,عبد الله الجمعان,Abdullah Al-Jumaan Al-Dosari,,GCC_public_figures
http://www.wikidata.org/entity/Q317750,عبد الله الواكد,عبد الله الواكد,Abdullah Al-Waked,,GCC_public_figures
http://www.wikidata.org/entity/Q317832,نايف بن عبد العزيز آل سعود,نايف بن عبد العزيز آل سعود,Nayef bin Abdulaziz,http://commons.wikimedia.org/wiki/Special:FilePath/Nayef%20bin%20AbdulAziz.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q317930,عبد الرحمن الشعيبي,عبد الرحمن الشعيبي,Abdulrahman Al-Shoaibi,,GCC_public_figures
http://www.wikidata.org/entity/Q328750,ياسر القحطاني,ياسر القحطاني,Yasser Al-Qahtani,http://commons.wikimedia.org/wiki/Special:FilePath/Yasser%20Al-Qahtani%202010.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q334718,ناصر المحمد الأحمد الصباح,ناصر المحمد الأحمد الصباح,Nasser Al-Mohammed Al-Sabah,http://commons.wikimedia.org/wiki/Special:FilePath/Nasser%20Mohammed%20Al-Ahmed%20Al-Sabah.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q338524,فيصل بن خالد بن عبد العزيز آل سعود,فيصل بن خالد بن عبد العزيز آل سعود,Faisal bin Khalid Al Saud (born 1954),,GCC_public_figures
http://www.wikidata.org/entity/Q344131,حمد المنتشري,حمد المنتشري,Hamad Al-Montashari,http://commons.wikimedia.org/wiki/Special:FilePath/Hamad%20Al-Montashari%202009.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q347571,سعود بن راشد المعلا,سعود بن راشد المعلا,Saud bin Rashid Al Mualla,,GCC_public_figures
http://www.wikidata.org/entity/Q359766,عدنان الباجه جي,عدنان الباجه جي,Adnan Pachachi,http://commons.wikimedia.org/wiki/Special:FilePath/Adnan%20Pachachi.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q359830,عدنان الطلياني,عدنان الطلياني,Adnan Al Talyani,http://commons.wikimedia.org/wiki/Special:FilePath/%D8%B9%D8%AF%D9%86%D8%A7%D9%86%20%D8%A7%D9%84%D8%B7%D9%84%D9%8A%D8%A7%D9%86%D9%8A2011.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q367825,سلمان بن عبد العزيز آل سعود,سلمان بن عبد العزيز آل سعود,Salman of Saudi Arabia,http://commons.wikimedia.org/wiki/Special:FilePath/%D8%A7%D9%84%D8%B5%D9%88%D8%B1%D8%A9%20%D8%A7%D9%84%D8%B1%D8%B3%D9%85%D9%8A%D8%A9%20%D9%84%D8%AE%D8%A7%D8%AF%D9%85%20%D8%A7%D9%84%D8%AD%D8%B1%D9%85%D9%8A%D9%86%20%D8%A7%D9%84%D8%B4%D8%B1%D9%8A%D9%81%D9%8A%D9%86%20%D8%A7%D9%84%D9%85%D9%84%D9%83%20%D8%B3%D9%84%D9%85%D8%A7%D9%86%20%D8%A8%D9%86%20%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2%20%D8%A2%D9%84%20%D8%B3%D8%B9%D9%88%D8%AF.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q371263,خالد الفيصل,خالد الفيصل بن عبد العزيز آل سعود,Khalid Al-Faisal,http://commons.wikimedia.org/wiki/Special:FilePath/Khalid%20al%20Faisal.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q373425,فيصل بن فهد بن عبد العزيز آل سعود,فيصل بن فهد بن عبد العزيز آل سعود,Faisal bin Fahd Al Saud (Saudi prince),http://commons.wikimedia.org/wiki/Special:FilePath/Faisal%20bin%20Fahd%20in%201978.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q2618177,عبد العزيز الجنوبي,عبد العزيز الجنوبي,Abdulaziz Al-Janoubi,http://commons.wikimedia.org/wiki/Special:FilePath/Abdulaziz%20Al-janobi.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q2620640,فيصل بن مساعد بن عبد العزيز آل سعود,فيصل بن مساعد بن عبد العزيز آل سعود,Faisal bin Musaid Al Saud,http://commons.wikimedia.org/wiki/Special:FilePath/Faisal%20Musaid.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q2628641,عبد الله فتاي,عبد الله فتاي,Abdulla Baba Fatadi,,GCC_public_figures
http://www.wikidata.org/entity/Q2657909,مرزوق العتيبي,مرزوق العتيبي,Marzouk Al-Otaibi,,GCC_public_figures
http://www.wikidata.org/entity/Q2661904,شخبوط بن سلطان آل نهيان,شخبوط بن سلطان آل نهيان,Shakhbut bin Sultan Al Nahyan,http://commons.wikimedia.org/wiki/Special:FilePath/%D8%A7%D9%84%D8%B4%D9%8A%D8%AE%20%D8%B3%D9%84%D8%B7%D8%A7%D9%86%20%D8%A8%D9%86%20%D8%B2%D8%A7%D9%8A%D8%AF%2019-1-1961.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q2701626,وليد عبد الله الغير سعودي,وليد عبد الله,Waleed Abdullah,http://commons.wikimedia.org/wiki/Special:FilePath/Waleed%20Abdullah.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q2714872,أحمد جميل,أحمد جميل,Ahmed Jamil Madani,,GCC_public_figures
http://www.wikidata.org/entity/Q2719857,محسن مصباح,محسن مصباح,Muhsin Musabah,,GCC_public_figures
http://www.wikidata.org/entity/Q2733507,محمد الخليوي,محمد الخليوي,Mohammed Al-Khilaiwi,,GCC_public_figures
http://www.wikidata.org/entity/Q2735036,خميس العويران,خميس العويران,Khamis Al-Owairan,,GCC_public_figures
http://www.wikidata.org/entity/Q2735296,ناصر الجوهر,ناصر الجوهر,Nasser Al-Johar,,GCC_public_figures
http://www.wikidata.org/entity/Q2735301,محمد الخوجلي,محمد الخوجلي,Mohammed Al-Khojali,http://commons.wikimedia.org/wiki/Special:FilePath/Mohammed%20Al-Khojli.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q3843431,مهدي علي,مهدي علي,Mahdi Ali,,GCC_public_figures
http://www.wikidata.org/entity/Q3843434,محبوب جمعة,محبوب جمعة,Mahboub Juma'a,,GCC_public_figures
http://www.wikidata.org/entity/Q3843442,محمود منصور,محمود منصور,Mahmood Abdulla,,GCC_public_figures
http://www.wikidata.org/entity/Q3843441,محمود قاسم,محمود قاسم,Mahmoud Qassem,,GCC_public_figures
http://www.wikidata.org/entity/Q3843589,ماجد ناصر,ماجد ناصر,Majed Naser,,GCC_public_figures
http://www.wikidata.org/entity/Q3843593,ماجد المرشدي,ماجد المرشدي,Majed Al-Marshedi,http://commons.wikimedia.org/wiki/Special:FilePath/Majed%20Al-Marshedi.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q3844881,منصور الحربي,منصور الحربي (لاعب كرة قدم سعودي),Mansoor Al-Harbi,,GCC_public_figures
http://www.wikidata.org/entity/Q3854071,خالد الرشيدي,خالد الرشيدي,Khaled Al-Rashidi,,GCC_public_figures
http://www.wikidata.org/entity/Q3859714,معتز الموسى,معتز الموسى,Moataz Al-Musa,,GCC_public_figures
http://www.wikidata.org/entity/Q3860092,محمد أحمد,محمد أحمد (لاعب كرة قدم مواليد 1989),Mohamed Ahmed (Emirati footballer),http://commons.wikimedia.org/wiki/Special:FilePath/Mohamed-Ahmed%2020191401.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q3860112,محمد سليم,محمد سليم (لاعب كرة قدم مواليد 1968),Mohamed Salim,,GCC_public_figures
http://www.wikidata.org/entity/Q3860127,محمد عبد الرحمن,محمد عبد الرحمن (لاعب كرة قدم مواليد 1989),"Mohammed Abdulrahman (footballer, born February 1989)",http://commons.wikimedia.org/wiki/Special:FilePath/Mohamed%20Abdulrahman.jpg,GCC_public_figures
