person,personLabel,arTitle,enTitle,image
http://www.wikidata.org/entity/Q1984442,فهد خميس,فهد خميس,Fahad Khamees,http://commons.wikimedia.org/wiki/Special:FilePath/Fahad%20Khamees%202011.JPG
http://www.wikidata.org/entity/Q1984448,مبارك غانم,مبارك غانم,Mubarak Ghanim,
http://www.wikidata.org/entity/Q1984913,Nicholas Kemboi,,Nicholas Kemboi (born 1983),http://commons.wikimedia.org/wiki/Special:FilePath/Prague%20International%20Marathon%20in%202014%20%28101%29.JPG
http://www.wikidata.org/entity/Q1992645,نمر النمر,نمر النمر,Nimr al-Nimr,http://commons.wikimedia.org/wiki/Special:FilePath/Sheikh%20Nimr%20al-Nimr.jpg
http://www.wikidata.org/entity/Q1998925,تركي الأول بن عبد العزيز آل سعود,تركي الأول بن عبد العزيز آل سعود,Turki I bin Abdulaziz Al Saud,
http://www.wikidata.org/entity/Q2005292,سعيد الكاس,سعيد الكاس,Saeed Al Kass,
http://www.wikidata.org/entity/Q2005774,سبيت خاطر,سبيت خاطر,Subait Khater,
http://www.wikidata.org/entity/Q2016792,جاسم يعقوب,جاسم يعقوب,Jasem Yaqoub,
http://www.wikidata.org/entity/Q2017241,عبد العزيز العنبري,عبد العزيز العنبري,Abdulaziz Al-Anberi,
http://www.wikidata.org/entity/Q2020201,نعيم سعد,نعيم سعد,Naeem Saad,
http://www.wikidata.org/entity/Q2020704,حمود فليطح,حمود فليطح,Hamoud Al-Shemmari,
http://www.wikidata.org/entity/Q2028112,أبو عمر السيف,أبو عمر السيف,Abu Omar al-Saif,
http://www.wikidata.org/entity/Q2034586,أسامة بن عبد المجيد شبكشي,أسامة بن عبد المجيد شبكشي,Ossama bin Abdul Majed Shobokshi,http://commons.wikimedia.org/wiki/Special:FilePath/Ossama%20bin%20Abdul%20Majed%20Shobokshi.JPG
http://www.wikidata.org/entity/Q2052580,عبد العزيز البلوشي,عبد العزيز البلوشي (لاعب كرة قدم كويتي),Abdulaziz Al-Buloushi,
